Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
1920	4	0.5482996106147766	1	3	124.92120361328125	0	0	0	0	0	0	0	0	0	1182.json	
1373	13	0.03992825374007225	1	10	96.332275390625	0	0	0	0	0	0	0	0	0	801.json	
1904	3	0.8481255173683167	1	0	132.4454345703125	0	0	0	0	0	0	0	0	0	1139.json	
1849	11,11,11,11	0.07225149124860764,0.053313542157411575,0.053313542157411575,0.03116612136363983	3,3,3,3	4,4,4,4	101.93840789794922,101.4668197631836,101.4668197631836,101.29906463623047	0,0,0,0	0,24,168,822	0,1,1,1	0,2,2,2	0,15,4,3	0,2,2,11	0,2,2,11	0,0,0,0	0,0,0,0	711.json	
1920	5,3,6,6,7	0.39032602310180664,0.5656160712242126,0.1008596420288086,0.10600675642490387,0.02959289215505123	1,1,1,1,1	4,3,7,8,3	117.46711730957031,129.34671020507812,112.49044799804688,112.39840698242188,112.48464965820312	0,0,0,0,0	0,1,89,98,98	0,1,5,1,5	0,5,6,2,10	0,122,197,6,171	0,23,5,12,11	0,16,5,12,11	0,0,0,0,0	0,0,0,0,0	1170.json	
1849	3	0.7601003050804138	1	3	130.30841064453125	0	0	0	0	0	0	0	0	0	1058.json	
1731	3	0.47116780281066895	1	1	131.28770446777344	1	0	0	0	0	0	0	0	0	213.json	
1849	3	0.538912296295166	1	2	129.2378692626953	0	0	0	0	0	0	0	0	0	944.json	
1849	3	0.5837270617485046	1	1	131.28770446777344	0	0	0	0	0	0	0	0	0	391.json	
1775	23,23,24,24,24,23,23,23,23,27	0.0011727417586371303,0.0011727417586371303,5.2728655282408E-4,3.512635885272175E-4,1.4479963283520192E-4,2.976132382173091E-4,3.0095214606262743E-4,3.677353379316628E-4,3.1109919655136764E-4,0.0	6,6,6,6,6,6,6,6,6,7	17,17,20,17,18,17,17,17,17,19	82.25870513916016,82.25870513916016,81.1389389038086,81.1479721069336,81.06275939941406,82.06783294677734,82.01366424560547,82.01366424560547,82.01366424560547,78.70540618896484	0,0,0,0,0,0,0,0,0,0	0,0,4,4,43,44,44,112,126,332	0,0,5,7,3,1,1,1,1,5	0,0,8,15,5,8,2,2,2,5	0,0,81,166,130,353,3,17,13,153	0,3,2,2,1,2,1,1,24,1	0,0,2,2,1,2,1,1,15,1	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	847.json	
1920	3	0.9206094741821289	1	0	131.9385528564453	0	0	0	0	0	0	0	0	0	1198.json	
1723	3,3,3	0.5163650512695312,0.5052152276039124,0.5163650512695312	1,1,1	1,2,1	130.7338104248047,130.45266723632812,130.7338104248047	1,1,1	0,318,456	0,1,1	0,2,2	0,6,6	0,5,5	0,5,5	0,0,0	0,0,1	462.json	
1849	6,5,5,6	0.8167040348052979,0.7210132479667664,0.7210132479667664,0.579052746295929	1,1,1,1	4,3,3,4	114.90958404541016,118.66690826416016,118.66690826416016,114.90958404541016	0,0,0,0	0,37,70,1191	0,0,0,1	0,2,0,1	0,21,0,18	0,2,7,1	0,2,0,1	0,0,0,0	0,0,0,0	796.json	
1849	3	0.48133203387260437	1	2	129.2378692626953	0	0	0	0	0	0	0	0	0	940.json	
1849	3	0.978520929813385	1	0	132.9956512451172	0	0	0	0	0	0	0	0	0	8.json	
1849	14,20,19,14	4.0973807335831225E-4,6.714905612170696E-4,0.0,3.414321399759501E-4	3,3,4,3	8,9,10,8	95.060791015625,87.44190979003906,88.20512390136719,94.81587982177734	0,0,0,0	0,475,475,475	0,9,6,1	0,12,13,7	0,160,159,181	0,11,4,1	0,10,4,1	0,0,0,0	0,0,0,1	990.json	
1849	4	0.0515468493103981	1	3	122.12659454345703	0	0	0	0	0	0	0	0	0	541.json	
1805	4,4,4	0.08895773440599442,0.09414482861757278,0.003946775570511818	1,1,1	1,1,1	121.08204650878906,121.08204650878906,121.08204650878906	0,0,0	0,1,296	0,1,1	0,2,2	0,15,7	0,2,14	0,2,14	0,0,0	0,0,0	752.json	
1849	9,9	0.006338236387819052,0.006338236387819052	1,1	8,8	105.52296447753906,105.52296447753906	0,0	0,14	0,0	0,0	0,2	0,4	0,0	0,0	0,0	576.json	
1849	3	0.5969946980476379	1	0	132.4454345703125	1	0	0	0	0	0	0	0	0	296.json	
