Age	SLOCStandard	Readability	McCabe	totalFanOut	MaintainabilityIndex	isGetterSetter	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	TangledCommit	TangledWMoveandFileRename	Buggycommiit	RiskyCommit	file	
5167	3,3,3,8,3,5,3,8,4	0.8719053268432617,0.8719053268432617,0.8719053268432617,0.6238076090812683,0.9430140852928162,0.3768611550331116,0.9374545812606812,0.6238076090812683,0.5067274570465088	1,1,1,4,1,2,1,4,1	0,0,0,4,2,2,2,4,2	132.4454345703125,132.4454345703125,132.4454345703125,108.52391815185547,129.34671020507812,119.71456909179688,129.69032287597656,108.52391815185547,124.92120361328125	0,0,0,0,0,0,0,0,0	0,279,660,1002,1402,1405,1419,1509,1884	0,0,0,10,2,1,1,8,2	0,0,0,13,10,7,2,10,10	0,0,0,248,196,55,58,197,203	0,170,283,9,10,5,6,12,10	0,0,16,9,10,5,6,12,10	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,1	801.json	
5167	3,3,3,3,3	0.7584370970726013,0.7584370970726013,0.7584370970726013,0.7712693810462952,0.7568452954292297	1,1,1,1,1	0,0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	1,1,1,1,1	0,279,660,3043,3139	0,0,0,1,1	0,0,0,2,2	0,0,0,18,2	0,170,283,149,24	0,0,16,149,24	0,0,0,0,0	0,0,0,0,0	711.json	
2035	3	0.8875468969345093	1	0	133.59722900390625	0	0	0	0	0	0	0	0	0	213.json	
5647	3,3,3	0.6435434818267822,0.6435434818267822,0.6435434818267822	1,1,1	2,2,2	129.81976318359375,129.81976318359375,129.81976318359375	0,0,0	0,758,1139	0,0,0	0,0,0	0,0,0	0,170,283	0,0,16	0,0,0	0,0,0	944.json	
2620	3,3	0.3848784565925598,0.38446512818336487	1,1	1,1	129.14646911621094,129.14646911621094	0,0	0,496	0,1	0,2	0,12	0,149	0,149	0,0	0,0	391.json	
2268	4	0.22230665385723114	1	1	124.48601531982422	0	0	0	0	0	0	0	0	0	847.json	
2123	3,3	0.5759856700897217,0.5271756052970886	1,1	0,0	132.43687438964844,132.43687438964844	0,0	0,0	0,2	0,4	0,12	0,17	0,1	0,0	0,0	101.json	
2875	5,6	0.8356508612632751,0.8035934567451477	2,2	1,1	119.185302734375,116.06659698486328	0,0	0,130	0,7	0,13	0,48	0,125	0,125	0,0	0,1	462.json	
4666	3,10,10,10,10,11	0.383090078830719,0.4628491699695587,0.44946426153182983,0.5178945064544678,0.3600594997406006,0.34107083082199097	1,1,1,1,1,1	4,5,3,3,4,4	127.87090301513672,103.06085968017578,103.80567169189453,103.80567169189453,103.21844482421875,101.555419921875	0,0,0,0,0,0	0,7,158,158,3366,3443	0,10,4,1,3,1	0,12,7,3,6,1	0,248,114,56,155,22	0,7,283,9,5,5	0,7,16,9,5,5	0,0,0,0,0,0	0,0,0,0,1,1	454.json	
6575	3,3,3,3	0.8745365738868713,0.8612971305847168,0.8612971305847168,0.8612971305847168	1,1,1,1	0,0,0,0	133.59722900390625,133.59722900390625,133.59722900390625,133.59722900390625	0,1,1,1	0,2,1686,2067	0,1,0,0	0,2,0,0	0,7,0,0	0,8,170,283	0,8,0,16	0,0,0,0	0,0,0,0	940.json	
2875	3	0.001082814414985478	1	1	128.3238067626953	0	0	0	0	0	0	0	0	0	488.json	
1159	21	9.540092432871461E-4	5	13	84.92340087890625	0	0	0	0	0	0	0	0	0	8.json	
